"stndr_name","Alpha.3.code","date","Latitude..average.","Longitude..average."
"Harry Lall","GUY","31/12/1966",5,-59
"Harry Lall","CHN","21/04/1966",35,105
"Cyryl Burke","GUY","12/07/1966",5,-59
"Cyryl Burke","CHN","21/04/1966",35,105
"Cheddi Jagan","GUY","16/07/1966",5,-59
"Jayme de Azevedo Rodrigues","DZA","25/06/1966",28,3
"Mauro [und]","URY","20/12/1966",-33,-56
"Marcos Leo Ramos","URY","31/12/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","28/02/1966",-33,-56
"Leonel Brizola","URY","20/09/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","11/01/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","15/09/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","12/01/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","25/06/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","25/08/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","14/12/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","17/06/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","03/11/1966",-33,-56
"Edgar Alves Maia","URY","06/01/1966",-33,-56
"Alberto dos Reis Benevides","URY","07/02/1966",-33,-56
"Cândido da Costa Aragão","URY","15/04/1966",-33,-56
"Gilberto [und]","CUB","06/07/1966",21.5,-80
"Jaime Barros","CHL","31/09/1966",-30,-71
"Jaime Araujo","URY","24/06/1966",-33,-56
"Desconhecido [ver observações especiais]","URY","24/06/1966",-33,-56
"Dagoberto Rodrigues","PRY","24/06/1966",-23,-58
"Desconhecido [ver observações especiais]","MEX","12/11/1966",23,-102
"Desconhecido [ver observações especiais]","CUB","06/06/1966",21.5,-80
"Desconhecido [ver observações especiais]","MEX","11/01/1966",23,-102
"Desconhecido [ver observações especiais]","CUB","29/06/1966",21.5,-80
"Desconhecido [ver observações especiais]","MEX","17/04/1966",23,-102
"Desconhecido [ver observações especiais]","CUB","29/06/1966",21.5,-80
"Desconhecido [ver observações especiais]","MEX","13/09/1966",23,-102
"Desconhecido [ver observações especiais]","CUB","18/06/1966",21.5,-80
"Desconhecido [ver observações especiais]","MEX","16/07/1966",23,-102
"Desconhecido [ver observações especiais]","CUB","14/06/1966",21.5,-80
"Desconhecido [ver observações especiais]","MEX","04/07/1966",23,-102
