"stndr_name","iso3","date","Country","lat_avg","lon_avg"
"Luís Carlos Prestes","YUG","1966-07-07","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Zenildo Rebouças Barreto","CZS","1966-05-13","Czechoslovakia",50.0755,14.4378
"Malvina Litman","SUN","1966-06-27","Soviet Union",60,100
"José Dilnei de Freitas","SUN","1966-06-24","Soviet Union",60,100
"Hélio Pinto Garcia","SUN","1966-06-22","Soviet Union",60,100
"Julio Cesar Engracia Gama de Oliveira","SUN","1966-06-28","Soviet Union",60,100
"Esmeraldino Aragão dos Santos","SUN","1966-06-25","Soviet Union",60,100
"Rafael Alves da Cunha","SUN","1966-06-20","Soviet Union",60,100
"Luis Carlos Moreira Cabral","CZS","1966-07-10","Czechoslovakia",50.0755,14.4378
"Maria Luisa Moreira Cabral","CZS","1966-07-17","Czechoslovakia",50.0755,14.4378
"Getulio Fernandes Teixeira","CZS","1966-07-08","Czechoslovakia",50.0755,14.4378
"Urbano de Andrade Lima Rocha","CZS","1966-07-20","Czechoslovakia",50.0755,14.4378
"Genival Rabelo","SUN","1966-07-18","Soviet Union",60,100
"Djalma Maranhão","GDR","1966-01-09","German Democratic Republic",52.52,13.42
"Aluizio Palhano Pedreira Ferreira","SUN","1966-02-14","Soviet Union",60,100
"João Belline Burza","SUN","1965-10-19","Soviet Union",60,100
"Djalma Maranhão","GDR","1966-10-10","German Democratic Republic",52.52,13.42
"José Severino da Silva","SUN","1966-08-08","Soviet Union",60,100
"Zanoni Fraissat","SUN","1966-08-18","Soviet Union",60,100
"Albano Luis Vanuzzi","SUN","1966-08-18","Soviet Union",60,100
"Oswaldo Mendes","SUN","1966-08-07","Soviet Union",60,100
"Alcides Modesto FIlho","CZS","1966-08-01","Czechoslovakia",50.0755,14.4378
"Jessé Oliveira","CZS","1964-08-07","Czechoslovakia",50.0755,14.4378
"Joaquim Júlio de Oliveira","CZS","1966-08-13","Czechoslovakia",50.0755,14.4378
"Salomão Tabac","SUN","1966-09-21","Soviet Union",60,100
"Dmitri Gomes","SUN","1965-10-17","Soviet Union",60,100
"Hudson Correa de Lacerda","SUN","1965-04-11","Soviet Union",60,100
"Manoel Albany Thomas","SUN","1965-07-23","Soviet Union",60,100
"Paulo Ernani de Rezende","SUN","1965-12-24","Soviet Union",60,100
"Virgina Martins Mascarenhas","SUN","1965-10-26","Soviet Union",60,100
"Waldemar Santiago Filho","SUN","1965-02-04","Soviet Union",60,100
"Emanuel Bonfante Demaria Junior","SUN","1966-09-14","Soviet Union",60,100
"José Fausto Bulhões","SUN","1966-09-23","Soviet Union",60,100
"Jorge Afonso Souto Severo","SUN","1966-09-28","Soviet Union",60,100
"Clovis Vilanova","SUN","1966-09-26","Soviet Union",60,100
"Wilson Simões","SUN","1966-09-18","Soviet Union",60,100
"Paulo Ernani de Rezende","SUN","1966-09-12","Soviet Union",60,100
"Vera Bohomoletez Henriques","SUN","1966-09-09","Soviet Union",60,100
"Paulo Bohomoletz Henriques","SUN","1966-09-27","Soviet Union",60,100
"André Bohomoletz Henriques","SUN","1966-09-09","Soviet Union",60,100
"Sebastião Baeta Henriques","SUN","1966-09-14","Soviet Union",60,100
"Olga Henriquez Bohomoletz","SUN","1966-11-22","Soviet Union",60,100
"Miguel José Draetta","SUN","1966-09-01","Soviet Union",60,100
"Djalma Maranhão","CZS","1966-10-27","Czechoslovakia",50.0755,14.4378
"Armando Ziller","CZS","1965-09-25","Czechoslovakia",50.0755,14.4378
"Pedro Motta Lima","CZS","1966-10-10","Czechoslovakia",50.0755,14.4378
"José Carlos Fernandes Modesto","SUN","1964-02-17","Soviet Union",60,100
"Djanir Machado","CZS","1966-09-07","Czechoslovakia",50.0755,14.4378
"Igor de Lima Abreu","CZS","1966-09-07","Czechoslovakia",50.0755,14.4378
