"stndr_name","iso3","date","country","lat_avg","lon_avg"
"Luís Carlos Prestes","YUG","1966-07-07","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Zenildo Rebouças Barreto","CZS","1966-05-14","Czechoslovakia",50.0755,14.4378
"Malvina Litman","SUN","1966-06-02","Soviet Union",60,100
"José Dilnei de Freitas","SUN","1966-06-27","Soviet Union",60,100
"Hélio Pinto Garcia","SUN","1966-06-01","Soviet Union",60,100
"Julio Cesar Engracia Gama de Oliveira","SUN","1966-06-02","Soviet Union",60,100
"Esmeraldino Aragão dos Santos","SUN","1966-06-15","Soviet Union",60,100
"Rafael Alves da Cunha","SUN","1966-06-16","Soviet Union",60,100
"B. N. Ponomarev","SUN","1966-09-12","Soviet Union",60,100
"Luis Carlos Moreira Cabral","CZS","1966-07-16","Czechoslovakia",50.0755,14.4378
"Maria Luisa Moreira Cabral","CZS","1966-07-07","Czechoslovakia",50.0755,14.4378
"Getulio Fernandes Teixeira","CZS","1966-07-12","Czechoslovakia",50.0755,14.4378
"Urbano de Andrade Lima Rocha","CZS","1966-07-22","Czechoslovakia",50.0755,14.4378
"Genival Rabelo","SUN","1966-07-05","Soviet Union",60,100
"Djalma Maranhão","GDR","1966-04-02","German Democratic Republic",52.52,13.42
"Aluizio Palhano Pedreira Ferreira","SUN","1966-01-04","Soviet Union",60,100
"João Belline Burza","SUN","1965-10-22","Soviet Union",60,100
"Michael Field","SUN","1966-09-16","Soviet Union",60,100
"[u.f.n.] Meira Penna","SUN","1966-09-16","Soviet Union",60,100
"Djalma Maranhão","GDR","1966-10-10","German Democratic Republic",52.52,13.42
"José Severino da Silva","SUN","1966-08-15","Soviet Union",60,100
"Zanoni Fraissat","SUN","1966-08-01","Soviet Union",60,100
"Albano Luis Vanuzzi","SUN","1966-08-22","Soviet Union",60,100
"Oswaldo Mendes","SUN","1966-08-06","Soviet Union",60,100
"Alcides Modesto FIlho","CZS","1966-08-01","Czechoslovakia",50.0755,14.4378
"Jessé Oliveira","CZS","1964-08-07","Czechoslovakia",50.0755,14.4378
"Joaquim Júlio de Oliveira","CZS","1966-08-27","Czechoslovakia",50.0755,14.4378
"Sergei Alexaeyevich Iongaykin","SUN","1966-10-24","Soviet Union",60,100
"Nikolai Iosicovich Ivanov","SUN","1966-10-15","Soviet Union",60,100
"Alekey Alexeyevich Zudin","SUN","1966-10-21","Soviet Union",60,100
"Vladimir P. Shvetz","SUN","1966-10-13","Soviet Union",60,100
"Salomão Tabac","SUN","1966-02-21","Soviet Union",60,100
"Dmitri Gomes","SUN","1965-04-12","Soviet Union",60,100
"Hudson Correa de Lacerda","SUN","1965-06-07","Soviet Union",60,100
"Manoel Albany Thomas","SUN","1965-03-04","Soviet Union",60,100
"Paulo Ernani de Rezende","SUN","1965-11-06","Soviet Union",60,100
"Virgina Martins Mascarenhas","SUN","1965-02-19","Soviet Union",60,100
"Waldemar Santiago Filho","SUN","1965-05-27","Soviet Union",60,100
"Emanuel Bonfante Demaria Junior","SUN","1966-09-04","Soviet Union",60,100
"José Fausto Bulhões","SUN","1966-09-19","Soviet Union",60,100
"Jorge Afonso Souto Severo","SUN","1966-09-25","Soviet Union",60,100
"Clovis Vilanova","SUN","1966-09-05","Soviet Union",60,100
"Heloísa Helena","SUN","1966-09-04","Soviet Union",60,100
"Wilson Simões","SUN","1966-09-01","Soviet Union",60,100
"Paulo Ernani de Rezende","SUN","1966-09-15","Soviet Union",60,100
