"","country","iso3","lat_avg","lon_avg"
"1","Afghanistan","AFG",33,65
"2","Albania","ALB",41,20
"3","Algeria","DZA",28,3
"4","American Samoa","ASM",-14.3333,-170
"5","Andorra","AND",42.5,1.6
"6","Angola","AGO",-12.5,18.5
"7","Anguilla","AIA",18.25,-63.1667
"8","Antarctica","ATA",-90,0
"9","Antigua and Barbuda","ATG",17.05,-61.8
"10","Argentina","ARG",-34,-64
"11","Armenia","ARM",40,45
"12","Aruba","ABW",12.5,-69.9667
"13","Australia","AUS",-27,133
"14","Austria","AUT",47.3333,13.3333
"15","Azerbaijan","AZE",40.5,47.5
"16","Bahamas","BHS",24.25,-76
"17","Bahrain","BHR",26,50.55
"18","Bangladesh","BGD",24,90
"19","Barbados","BRB",13.1667,-59.5333
"20","Belarus","BLR",53,28
"21","Belgium","BEL",50.8333,4
"22","Belize","BLZ",17.25,-88.75
"23","Benin","BEN",9.5,2.25
"24","Bermuda","BMU",32.3333,-64.75
"25","Bhutan","BTN",27.5,90.5
"26","Bolivia, Plurinational State of","BOL",-17,-65
"27","Bolivia","BOL",-17,-65
"28","Bosnia and Herzegovina","BIH",44,18
"29","Botswana","BWA",-22,24
"30","Bouvet Island","BVT",-54.4333,3.4
"31","Brazil","BRA",-10,-55
"32","British Indian Ocean Territory","IOT",-6,71.5
"33","Brunei Darussalam","BRN",4.5,114.6667
"34","Brunei","BRN",4.5,114.6667
"35","Bulgaria","BGR",43,25
"36","Burkina Faso","BFA",13,-2
"37","Burundi","BDI",-3.5,30
"38","Cambodia","KHM",13,105
"39","Cameroon","CMR",6,12
"40","Canada","CAN",60,-95
"41","Cape Verde","CPV",16,-24
"42","Cayman Islands","CYM",19.5,-80.5
"43","Central African Republic","CAF",7,21
"44","Chad","TCD",15,19
"45","Chile","CHL",-30,-71
"46","China","CHN",35,105
"47","Christmas Island","CXR",-10.5,105.6667
"48","Cocos (Keeling) Islands","CCK",-12.5,96.8333
"49","Colombia","COL",4,-72
"50","Comoros","COM",-12.1667,44.25
"51","Congo","COG",-1,15
"52","Congo, the Democratic Republic of the","COD",0,25
"53","Cook Islands","COK",-21.2333,-159.7667
"54","Costa Rica","CRI",10,-84
"55","Côte d'Ivoire","CIV",8,-5
"56","Ivory Coast","CIV",8,-5
"57","Croatia","HRV",45.1667,15.5
"58","Cuba","CUB",21.5,-80
"59","Cyprus","CYP",35,33
"60","Czech Republic","CZE",49.75,15.5
"61","Denmark","DNK",56,10
"62","Djibouti","DJI",11.5,43
"63","Dominica","DMA",15.4167,-61.3333
"64","Dominican Republic","DOM",19,-70.6667
"65","Ecuador","ECU",-2,-77.5
"66","Egypt","EGY",27,30
"67","El Salvador","SLV",13.8333,-88.9167
"68","Equatorial Guinea","GNQ",2,10
"69","Eritrea","ERI",15,39
"70","Estonia","EST",59,26
"71","Ethiopia","ETH",8,38
"72","Falkland Islands (Malvinas)","FLK",-51.75,-59
"73","Faroe Islands","FRO",62,-7
"74","Fiji","FJI",-18,175
"75","Finland","FIN",64,26
"76","France","FRA",46,2
"77","French Guiana","GUF",4,-53
"78","French Polynesia","PYF",-15,-140
"79","French Southern Territories","ATF",-43,67
"80","Gabon","GAB",-1,11.75
"81","Gambia","GMB",13.4667,-16.5667
"82","Georgia","GEO",42,43.5
"83","Germany","DEU",51,9
"84","Ghana","GHA",8,-2
"85","Gibraltar","GIB",36.1833,-5.3667
"86","Greece","GRC",39,22
"87","Greenland","GRL",72,-40
"88","Grenada","GRD",12.1167,-61.6667
"89","Guadeloupe","GLP",16.25,-61.5833
"90","Guam","GUM",13.4667,144.7833
"91","Guatemala","GTM",15.5,-90.25
"92","Guernsey","GGY",49.5,-2.56
"93","Guinea","GIN",11,-10
"94","Guinea-Bissau","GNB",12,-15
"95","Guyana","GUY",5,-59
"96","Haiti","HTI",19,-72.4167
"97","Heard Island and McDonald Islands","HMD",-53.1,72.5167
"98","Holy See (Vatican City State)","VAT",41.9,12.45
"99","Honduras","HND",15,-86.5
"100","Hong Kong","HKG",22.25,114.1667
"101","Hungary","HUN",47,20
"102","Iceland","ISL",65,-18
"103","India","IND",20,77
"104","Indonesia","IDN",-5,120
"105","Iran, Islamic Republic of","IRN",32,53
"106","Iraq","IRQ",33,44
"107","Ireland","IRL",53,-8
"108","Isle of Man","IMN",54.23,-4.55
"109","Israel","ISR",31.5,34.75
"110","Italy","ITA",42.8333,12.8333
"111","Jamaica","JAM",18.25,-77.5
"112","Japan","JPN",36,138
"113","Jersey","JEY",49.21,-2.13
"114","Jordan","JOR",31,36
"115","Kazakhstan","KAZ",48,68
"116","Kenya","KEN",1,38
"117","Kiribati","KIR",1.4167,173
"118","Korea, Democratic People's Republic of","PRK",40,127
"119","Korea, Republic of","KOR",37,127.5
"120","South Korea","KOR",37,127.5
"121","Kuwait","KWT",29.3375,47.6581
"122","Kyrgyzstan","KGZ",41,75
"123","Lao People's Democratic Republic","LAO",18,105
"124","Latvia","LVA",57,25
"125","Lebanon","LBN",33.8333,35.8333
