"","x"
"brasil",5089
"uruguai",3880
"chile",3370
"argentina",2281
"cuba",1611
"portugal",1192
"china",755
"bolívia",639
"peru",627
"venezuela",583
"nicarágua",485
"méxico",406
"paraguai",376
"frança",334
"angola",327
"colômbia",286
"guiana",280
"argélia",260
"panamá",248
"espanha",239
"moçambique",224
"alemanha",208
"israel",199
"suriname",188
"guatemala",173
"equador",160
"itália",153
"suécia",118
"polônia",112
"jamaica",111
"bélgica",104
"índia",100
"bulgária",96
"japão",91
"suíça",91
"granada",90
"líbia",84
"iugoslávia",80
"canadá",79
"hungria",77
"egito",71
"honduras",64
"namíbia",64
