"stndr_name","freq"
"Leonel Brizola",497
"Cândido da Costa Aragão",331
"João Goulart",317
"Salvador Allende",181
"Carlos Figueiredo de Sá",157
"José Guimarães Neiva Moreira",140
"Miguel Arraes",118
"Fidel Castro",116
"Paulo Romeu Schilling",112
"Emmanuel Nicoll",92
"Djalma Maranhão",91
"Isidoro Antonio Vianna Gutierrez",91
"Joaquim Pires Cerveira",88
"Amarilio de Oliveira Vasconcellos",81
"Juan Domingo Perón",81
"Juan Maria Bordaberry",79
"Jefferson Cardim Alencar de Osório",78
"Carlos Marighella",72
"Márcio Moreira Alves",71
"Gregorio Conrado Álvarez",70
"Almino Monteiro Álvares Affonso",66
"Dagoberto Rodrigues",62
"Esteban Cristi",62
"Mario Soares",62
"Tarzan de Castro",62
"Ariel Collazo",61
"Ivo Magalhães Londres",61
"Darcy Ribeiro da Silveira",60
"Rodney Arismendi",59
"Augusto Pinochet",57
"Jorge Pacheco Areco",55
"Carlos Lamarca",54
"Almir Dutton Ferreira",51
"Amadeu Thiago de Mello",51
"Juan José Torres",50
